id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
53661776,62320777,95%,97%,t,7,Rancho Bernadino,33.09528,-117.10836,Private room,4,1 private bath,2,2,167,0,,f,
6.00E+17,414789390,100%,100%,f,1,Tijuana River Valley,32.53066158,-117.0831513,Entire home/apt,6,1.5 baths,2,3,96,1,5,t,0.64
52088878,100368579,100%,94%,f,0,San Carlos,32.789742,-117.034927,Private room,2,1 private bath,1,1,85,7,4.71,f,3.62
6.29E+17,95926933,100%,79%,f,2,Mission Bay,32.54520845,-116.9339141,Entire home/apt,4,1 bath,1,3,54,0,,t,
19621314,46170232,100%,98%,t,5,Mission Bay,33.08553,-117.02757,Private room,5,1 private bath,1,4,90,30,5,f,2.45
5.89E+17,113883981,99%,100%,f,51,Northwest,32.66696,-117.1013,Entire home/apt,6,1 bath,1,1,356,0,,t,
39755889,303518125,100%,91%,f,0,Bay Terrace,32.67727,-117.03607,Entire home/apt,8,3 baths,4,4,752,24,4.87,t,1.71
35203930,265085721,100%,100%,t,2,Bay Terrace,32.68282,-117.02559,Private room,1,1 shared bath,1,1,73,30,4.92,t,1.65
29489747,174649308,100%,97%,t,1,Mission Bay,32.53125,-116.97315,Entire home/apt,3,1 bath,1,1,31,160,4.86,f,11.9
29185190,25047669,100%,100%,t,0,Northwest,32.65319,-117.10861,Entire home/apt,6,2 baths,3,4,343,16,4.93,t,2.27
1240503,6761999,100%,97%,t,2,Bonita Long Canyon,32.64779,-116.99218,Private room,2,1 shared bath,1,1,40,34,4.9,f,1.54
45812616,1451704,100%,90%,t,2,Tierrasanta,32.83214,-117.02254,Private room,2,1 shared bath,1,2,83,15,4.89,f,1.5
34229310,221210514,100%,99%,t,1,Tijuana River Valley,32.53349,-117.0498,Entire home/apt,2,1 bath,,1,32,56,4.83,f,4.24
48352938,162125688,100%,100%,t,13,Northwest,32.66614,-117.10657,Entire home/apt,6,1 bath,2,3,190,48,4.93,f,4.77
37637253,252208105,43%,100%,f,0,Mission Bay,32.54489,-116.92548,Entire home/apt,2,1 bath,1,1,39,0,4,t,0.03
25461248,503698,100%,100%,f,3,Mission Bay,33.08365,-117.03843,Entire home/apt,3,1 bath,,2,69,12,4.86,t,1.19
19641722,135578419,N/A,N/A,f,1,Encanto,32.73354,-117.05403,Private room,2,1 shared bath,1,1,80,0,4.82,t,0.18
43010270,342381035,N/A,N/A,f,0,Rancho Bernadino,33.09275,-117.11278,Private room,2,1.5 shared baths,1,1,75,0,,t,
5.89E+17,51245174,100%,98%,t,2,Scripps Ranch,32.93501,-117.06186,Entire home/apt,11,2 baths,4,5,487,1,5,f,1
29967,129123,100%,63%,f,5,Pacific Beach,32.80751,-117.2576,Entire home/apt,8,2 baths,2,3,265,14,4.79,f,0.54
45310768,204271448,100%,99%,t,1,Tijuana River Valley,32.53057,-117.08402,Entire home/apt,7,1.5 baths,2,5,59,36,4.94,f,2.48
38245,164137,100%,69%,f,3,Roseville,32.74217,-117.21931,Private room,1,1 shared bath,1,1,86,4,4.32,f,1.03
32963195,128467101,100%,95%,t,2,Encanto,32.73191,-117.04142,Private room,2,1 shared bath,1,1,90,28,4.94,f,1.56
6361160,8499599,N/A,100%,t,2,Mission Bay,33.11247,-117.02373,Private room,2,1 private bath,1,1,170,25,5,f,1.05
24232795,138063643,90%,90%,f,3,Mission Bay,32.53658,-116.94116,Entire home/apt,8,2.5 baths,3,4,160,8,4.58,t,0.61
51028272,281161184,100%,100%,t,5,Mission Bay,32.53727,-116.97139,Entire home/apt,4,1 bath,2,2,61,38,4.74,t,3.49
5.68E+17,10824022,100%,100%,f,5,Tierrasanta,32.84266,-117.01692,Private room,1,1 shared bath,1,1,47,0,,f,
44418097,358702316,100%,99%,f,0,Mission Bay,32.53161,-116.95079,Entire home/apt,6,2 baths,2,3,108,47,4.96,t,3.61
54001,252692,100%,86%,t,5,La Jolla,32.81301,-117.26856,Entire home/apt,3,1 bath,2,3,262,30,4.94,f,2.07
62274,302986,100%,93%,f,2,Pacific Beach,32.80583,-117.24244,Entire home/apt,2,1 bath,1,1,89,78,4.77,f,5.21
28386795,6927334,100%,72%,f,1,Encanto,32.73397,-117.04629,Entire home/apt,12,2 baths,4,6,821,22,4.58,f,0.88
6.39E+17,95926933,100%,79%,f,2,Mission Bay,32.54525819,-116.9333629,Entire home/apt,6,1 bath,1,3,57,0,,t,
33202028,194635599,N/A,0%,f,2,Mission Bay,32.545,-116.92656,Entire home/apt,5,1.5 baths,2,6,73,0,4.56,t,0.46
40030896,28893008,100%,61%,t,5,Northwest,32.65145,-117.10881,Entire home/apt,2,Half-bath,1,3,190,7,4.63,f,0.87
50776070,11983976,100%,100%,t,0,Tijuana River Valley,32.53521,-117.05287,Entire home/apt,2,1 bath,1,2,46,15,4.73,t,1.33
33722616,110023604,100%,99%,f,6,Mission Bay,32.54062,-116.93106,Entire home/apt,2,1 bath,1,2,27,12,4.7,t,0.97
51567627,392954360,100%,97%,f,2,Jomacha-Lomita,32.73409,-117.02133,Private room,2,1 shared bath,1,1,70,8,5,t,0.92
62949,21532,100%,97%,t,2,Pacific Beach,32.80885,-117.23043,Entire home/apt,2,1 bath,,,110,88,4.86,f,7.22
67441,332552,100%,70%,f,5,College Area,32.76347,-117.07753,Entire home/apt,2,1 bath,1,1,77,1,5,f,0.07
4069792,21065491,100%,71%,f,5,Mission Bay,32.54591,-116.93318,Entire home/apt,2,1 bath,,1,49,0,4.69,f,0.32
75668,401936,60%,16%,f,2,North Hills,32.74699,-117.14243,Private room,2,1 private bath,1,1,45,0,4.83,f,1.47
19316854,135298645,90%,100%,t,1,Del Mar Heights,32.95723,-117.26145,Private room,2,1 private bath,1,1,90,60,4.87,t,4.97
77785,417659,100%,100%,f,1,Old Town,32.749096,-117.191025,Private room,1,1 private bath,1,1,85,2,4.84,f,0.36
79300,401936,60%,16%,f,2,North Hills,32.74715,-117.1428,Private room,2,1 private bath,1,1,50,3,4.81,f,1.17
53604612,434098530,100%,100%,t,0,Bonita Long Canyon,32.67942,-116.99356,Private room,2,1 private bath,1,1,90,35,4.91,f,5.83
49885561,276140728,100%,96%,t,2,Rancho Bernadino,33.08282,-117.08318,Entire home/apt,4,1 bath,1,2,89,12,4.92,f,1.01
46628090,104573592,100%,98%,t,2,Mission Bay,33.12553,-117.02891,Entire home/apt,2,1 bath,1,1,159,69,4.96,f,6.15
6.38E+17,391443012,100%,98%,t,0,Lincoln Park,32.68874,-117.09189,Private room,2,1 shared bath,1,1,58,0,,t,
51470168,413513993,100%,86%,f,0,Sunbow,32.60348,-117.02547,Private room,2,1 shared bath,1,2,47,17,4.65,t,1.92
53466698,62320777,95%,97%,t,7,Rancho Bernadino,33.09438,-117.10834,Private room,2,1 shared bath,1,1,87,14,5,f,2.07
54343712,162283241,94%,97%,t,40,Del Mar Heights,32.97055,-117.26633,Entire home/apt,4,2 baths,2,2,539,9,5,t,4.03
